[ 2013-12-27T15:42:07+08:00 ] /skybroad/ | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001774s ]
[ 2013-12-27T15:42:35+08:00 ] /skybroad/ | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000249s ]
[ 2013-12-27T15:42:35+08:00 ] /skybroad/ | SQL: SHOW COLUMNS FROM `m_advert` [ RunTime:0.001114s ]
[ 2013-12-27T15:42:35+08:00 ] /skybroad/ | SQL: SELECT * FROM `m_advert` ORDER BY id asc LIMIT 5  [ RunTime:0.000305s ]
[ 2013-12-27T15:42:38+08:00 ] /skybroad/index.php/Mobile/About | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001515s ]
[ 2013-12-27T15:42:38+08:00 ] /skybroad/index.php/Mobile/About | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000288s ]
[ 2013-12-27T15:42:38+08:00 ] /skybroad/index.php/Mobile/About | SQL: SHOW COLUMNS FROM `m_news` [ RunTime:0.001564s ]
[ 2013-12-27T15:42:38+08:00 ] /skybroad/index.php/Mobile/About | SQL: SELECT * FROM `m_news` WHERE category_id=110 LIMIT 1  [ RunTime:0.000359s ]
[ 2013-12-27T15:42:50+08:00 ] /skybroad/index.php/Mobile/About | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001503s ]
[ 2013-12-27T15:42:50+08:00 ] /skybroad/index.php/Mobile/About | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000268s ]
[ 2013-12-27T15:42:50+08:00 ] /skybroad/index.php/Mobile/About | SQL: SHOW COLUMNS FROM `m_news` [ RunTime:0.001114s ]
[ 2013-12-27T15:42:50+08:00 ] /skybroad/index.php/Mobile/About | SQL: SELECT * FROM `m_news` WHERE category_id=110 LIMIT 1  [ RunTime:0.000397s ]
[ 2013-12-27T15:42:55+08:00 ] /skybroad/index.php/Mobile/About | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001500s ]
[ 2013-12-27T15:42:55+08:00 ] /skybroad/index.php/Mobile/About | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000247s ]
[ 2013-12-27T15:42:55+08:00 ] /skybroad/index.php/Mobile/About | SQL: SHOW COLUMNS FROM `m_news` [ RunTime:0.001178s ]
[ 2013-12-27T15:42:55+08:00 ] /skybroad/index.php/Mobile/About | SQL: SELECT * FROM `m_news` WHERE category_id=110 LIMIT 1  [ RunTime:0.000457s ]
[ 2013-12-27T15:43:11+08:00 ] /skybroad/index.php/Mobile/Contact | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001399s ]
[ 2013-12-27T15:43:11+08:00 ] /skybroad/index.php/Mobile/Contact | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000242s ]
[ 2013-12-27T15:43:11+08:00 ] /skybroad/index.php/Mobile/Contact | SQL: SHOW COLUMNS FROM `m_news` [ RunTime:0.001094s ]
[ 2013-12-27T15:43:11+08:00 ] /skybroad/index.php/Mobile/Contact | SQL: SELECT * FROM `m_news` WHERE category_id=130 LIMIT 1  [ RunTime:0.000319s ]
[ 2013-12-27T15:43:16+08:00 ] /skybroad/index.php/Mobile/Message | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001475s ]
[ 2013-12-27T15:43:16+08:00 ] /skybroad/index.php/Mobile/Message | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000260s ]
[ 2013-12-27T15:43:16+08:00 ] /skybroad/index.php/Mobile/Message | SQL: SHOW COLUMNS FROM `m_guestbook` [ RunTime:0.001593s ]
[ 2013-12-27T15:43:17+08:00 ] /skybroad/index.php/Mobile/Message/verify | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001478s ]
[ 2013-12-27T15:43:17+08:00 ] /skybroad/index.php/Mobile/Message/verify | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000259s ]
[ 2013-12-27T15:43:17+08:00 ] /skybroad/index.php/Mobile/Message/verify | SQL: SHOW COLUMNS FROM `m_guestbook` [ RunTime:0.001089s ]
[ 2013-12-27T15:43:21+08:00 ] /skybroad/ | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001528s ]
[ 2013-12-27T15:43:21+08:00 ] /skybroad/ | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000269s ]
[ 2013-12-27T15:43:21+08:00 ] /skybroad/ | SQL: SHOW COLUMNS FROM `m_advert` [ RunTime:0.001127s ]
[ 2013-12-27T15:43:21+08:00 ] /skybroad/ | SQL: SELECT * FROM `m_advert` ORDER BY id asc LIMIT 5  [ RunTime:0.000260s ]
[ 2013-12-27T15:43:22+08:00 ] /skybroad/index.php/Mobile/Ajaxload/index_advajaxload?_=1388130204587 | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001485s ]
[ 2013-12-27T15:43:22+08:00 ] /skybroad/index.php/Mobile/Ajaxload/index_advajaxload?_=1388130204587 | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000244s ]
[ 2013-12-27T15:43:22+08:00 ] /skybroad/index.php/Mobile/Ajaxload/index_advajaxload?_=1388130204587 | SQL: SHOW COLUMNS FROM `m_advert` [ RunTime:0.001129s ]
[ 2013-12-27T15:43:22+08:00 ] /skybroad/index.php/Mobile/Ajaxload/index_advajaxload?_=1388130204587 | SQL: SELECT * FROM `m_advert` ORDER BY id asc LIMIT 5  [ RunTime:0.000262s ]
[ 2013-12-27T15:43:22+08:00 ] /skybroad/index.php/Mobile/Ajaxload/index_advajaxload?_=1388130204587 | NOTIC: [8] Undefined variable: str AjaxloadAction.class.php 第 65 行.
[ 2013-12-27T15:43:27+08:00 ] /skybroad/index.php/Mobile/Goods | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.002055s ]
[ 2013-12-27T15:43:27+08:00 ] /skybroad/index.php/Mobile/Goods | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000267s ]
[ 2013-12-27T15:43:27+08:00 ] /skybroad/index.php/Mobile/Goods | SQL: SHOW COLUMNS FROM `m_goods` [ RunTime:0.001434s ]
[ 2013-12-27T15:43:27+08:00 ] /skybroad/index.php/Mobile/Goods | SQL: SHOW COLUMNS FROM `m_categorys` [ RunTime:0.001131s ]
[ 2013-12-27T15:43:27+08:00 ] /skybroad/index.php/Mobile/Goods | SQL: SELECT * FROM `m_categorys` WHERE fid=120 ORDER BY id asc [ RunTime:0.000305s ]
[ 2013-12-27T15:43:30+08:00 ] /skybroad/index.php/Mobile/Goods/view/cid/12010 | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001512s ]
[ 2013-12-27T15:43:30+08:00 ] /skybroad/index.php/Mobile/Goods/view/cid/12010 | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000248s ]
[ 2013-12-27T15:43:30+08:00 ] /skybroad/index.php/Mobile/Goods/view/cid/12010 | SQL: SHOW COLUMNS FROM `m_goods` [ RunTime:0.001153s ]
[ 2013-12-27T15:43:30+08:00 ] /skybroad/index.php/Mobile/Goods/view/cid/12010 | SQL: SHOW COLUMNS FROM `m_categorys` [ RunTime:0.000876s ]
[ 2013-12-27T15:43:30+08:00 ] /skybroad/index.php/Mobile/Goods/view/cid/12010 | SQL: SELECT * FROM `m_categorys` WHERE id=12010 LIMIT 1  [ RunTime:0.000238s ]
[ 2013-12-27T15:43:31+08:00 ] /skybroad/index.php/Mobile/Ajaxload/start_ajaxLoad | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001467s ]
[ 2013-12-27T15:43:31+08:00 ] /skybroad/index.php/Mobile/Ajaxload/start_ajaxLoad | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000318s ]
[ 2013-12-27T15:43:31+08:00 ] /skybroad/index.php/Mobile/Ajaxload/start_ajaxLoad | SQL: SHOW COLUMNS FROM `m_goods` [ RunTime:0.001163s ]
[ 2013-12-27T15:43:31+08:00 ] /skybroad/index.php/Mobile/Ajaxload/start_ajaxLoad | SQL: SELECT COUNT(*) AS tp_count FROM `m_goods` WHERE ( category_id like '12010%' ) LIMIT 1  [ RunTime:0.000362s ]
[ 2013-12-27T15:43:31+08:00 ] /skybroad/index.php/Mobile/Ajaxload/start_ajaxLoad | SQL: SELECT * FROM `m_goods` WHERE ( category_id like '12010%' ) ORDER BY id desc LIMIT 0,8  [ RunTime:0.000572s ]
[ 2013-12-27T15:43:34+08:00 ] /skybroad/index.php/Mobile/Ajaxload/ajaxload | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001655s ]
[ 2013-12-27T15:43:34+08:00 ] /skybroad/index.php/Mobile/Ajaxload/ajaxload | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000250s ]
[ 2013-12-27T15:43:34+08:00 ] /skybroad/index.php/Mobile/Ajaxload/ajaxload | SQL: SHOW COLUMNS FROM `m_goods` [ RunTime:0.001093s ]
[ 2013-12-27T15:43:34+08:00 ] /skybroad/index.php/Mobile/Ajaxload/ajaxload | SQL: SELECT COUNT(*) AS tp_count FROM `m_goods` WHERE ( category_id like '12010%' ) LIMIT 1  [ RunTime:0.000323s ]
[ 2013-12-27T15:43:34+08:00 ] /skybroad/index.php/Mobile/Ajaxload/ajaxload | SQL: SELECT * FROM `m_goods` WHERE ( category_id like '12010%' ) ORDER BY id desc LIMIT 8,8  [ RunTime:0.000399s ]
[ 2013-12-27T15:43:34+08:00 ] /skybroad/index.php/Mobile/Ajaxload/ajaxload | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001492s ]
[ 2013-12-27T15:43:34+08:00 ] /skybroad/index.php/Mobile/Ajaxload/ajaxload | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000247s ]
[ 2013-12-27T15:43:34+08:00 ] /skybroad/index.php/Mobile/Ajaxload/ajaxload | SQL: SHOW COLUMNS FROM `m_goods` [ RunTime:0.001107s ]
[ 2013-12-27T15:43:34+08:00 ] /skybroad/index.php/Mobile/Ajaxload/ajaxload | SQL: SELECT COUNT(*) AS tp_count FROM `m_goods` WHERE ( category_id like '12010%' ) LIMIT 1  [ RunTime:0.000319s ]
[ 2013-12-27T15:43:34+08:00 ] /skybroad/index.php/Mobile/Ajaxload/ajaxload | SQL: SELECT * FROM `m_goods` WHERE ( category_id like '12010%' ) ORDER BY id desc LIMIT 8,8  [ RunTime:0.000407s ]
[ 2013-12-27T15:43:38+08:00 ] /skybroad/index.php/Mobile/Goods | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001647s ]
[ 2013-12-27T15:43:38+08:00 ] /skybroad/index.php/Mobile/Goods | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000259s ]
[ 2013-12-27T15:43:38+08:00 ] /skybroad/index.php/Mobile/Goods | SQL: SHOW COLUMNS FROM `m_goods` [ RunTime:0.001119s ]
[ 2013-12-27T15:43:38+08:00 ] /skybroad/index.php/Mobile/Goods | SQL: SHOW COLUMNS FROM `m_categorys` [ RunTime:0.000899s ]
[ 2013-12-27T15:43:38+08:00 ] /skybroad/index.php/Mobile/Goods | SQL: SELECT * FROM `m_categorys` WHERE fid=120 ORDER BY id asc [ RunTime:0.000315s ]
[ 2013-12-27T15:43:39+08:00 ] /skybroad/index.php/Mobile | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001440s ]
[ 2013-12-27T15:43:39+08:00 ] /skybroad/index.php/Mobile | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000249s ]
[ 2013-12-27T15:43:39+08:00 ] /skybroad/index.php/Mobile | SQL: SHOW COLUMNS FROM `m_advert` [ RunTime:0.001146s ]
[ 2013-12-27T15:43:39+08:00 ] /skybroad/index.php/Mobile | SQL: SELECT * FROM `m_advert` ORDER BY id asc LIMIT 5  [ RunTime:0.000266s ]
[ 2013-12-27T15:43:40+08:00 ] /skybroad/index.php/Mobile/Ajaxload/index_advajaxload?_=1388130222513 | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001414s ]
[ 2013-12-27T15:43:40+08:00 ] /skybroad/index.php/Mobile/Ajaxload/index_advajaxload?_=1388130222513 | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000242s ]
[ 2013-12-27T15:43:40+08:00 ] /skybroad/index.php/Mobile/Ajaxload/index_advajaxload?_=1388130222513 | SQL: SHOW COLUMNS FROM `m_advert` [ RunTime:0.001112s ]
[ 2013-12-27T15:43:40+08:00 ] /skybroad/index.php/Mobile/Ajaxload/index_advajaxload?_=1388130222513 | SQL: SELECT * FROM `m_advert` ORDER BY id asc LIMIT 5  [ RunTime:0.000261s ]
[ 2013-12-27T15:43:40+08:00 ] /skybroad/index.php/Mobile/Ajaxload/index_advajaxload?_=1388130222513 | NOTIC: [8] Undefined variable: str AjaxloadAction.class.php 第 65 行.
[ 2013-12-27T15:43:42+08:00 ] /skybroad/index.php/Mobile/Goods | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001517s ]
[ 2013-12-27T15:43:42+08:00 ] /skybroad/index.php/Mobile/Goods | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000264s ]
[ 2013-12-27T15:43:42+08:00 ] /skybroad/index.php/Mobile/Goods | SQL: SHOW COLUMNS FROM `m_goods` [ RunTime:0.001204s ]
[ 2013-12-27T15:43:42+08:00 ] /skybroad/index.php/Mobile/Goods | SQL: SHOW COLUMNS FROM `m_categorys` [ RunTime:0.000971s ]
[ 2013-12-27T15:43:42+08:00 ] /skybroad/index.php/Mobile/Goods | SQL: SELECT * FROM `m_categorys` WHERE fid=120 ORDER BY id asc [ RunTime:0.000419s ]
[ 2013-12-27T15:43:45+08:00 ] /skybroad/index.php/Mobile/Goods/view/cid/12011 | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001456s ]
[ 2013-12-27T15:43:45+08:00 ] /skybroad/index.php/Mobile/Goods/view/cid/12011 | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000251s ]
[ 2013-12-27T15:43:45+08:00 ] /skybroad/index.php/Mobile/Goods/view/cid/12011 | SQL: SHOW COLUMNS FROM `m_goods` [ RunTime:0.001112s ]
[ 2013-12-27T15:43:45+08:00 ] /skybroad/index.php/Mobile/Goods/view/cid/12011 | SQL: SHOW COLUMNS FROM `m_categorys` [ RunTime:0.000855s ]
[ 2013-12-27T15:43:45+08:00 ] /skybroad/index.php/Mobile/Goods/view/cid/12011 | SQL: SELECT * FROM `m_categorys` WHERE id=12011 LIMIT 1  [ RunTime:0.000244s ]
[ 2013-12-27T15:43:46+08:00 ] /skybroad/index.php/Mobile/Ajaxload/start_ajaxLoad | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001488s ]
[ 2013-12-27T15:43:46+08:00 ] /skybroad/index.php/Mobile/Ajaxload/start_ajaxLoad | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000260s ]
[ 2013-12-27T15:43:46+08:00 ] /skybroad/index.php/Mobile/Ajaxload/start_ajaxLoad | SQL: SHOW COLUMNS FROM `m_goods` [ RunTime:0.001126s ]
[ 2013-12-27T15:43:46+08:00 ] /skybroad/index.php/Mobile/Ajaxload/start_ajaxLoad | SQL: SELECT COUNT(*) AS tp_count FROM `m_goods` WHERE ( category_id like '12011%' ) LIMIT 1  [ RunTime:0.000326s ]
[ 2013-12-27T15:43:46+08:00 ] /skybroad/index.php/Mobile/Ajaxload/start_ajaxLoad | SQL: SELECT * FROM `m_goods` WHERE ( category_id like '12011%' ) ORDER BY id desc LIMIT 0,8  [ RunTime:0.000387s ]
[ 2013-12-27T15:43:48+08:00 ] /skybroad/index.php/Mobile/Ajaxload/ajaxload | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001484s ]
[ 2013-12-27T15:43:48+08:00 ] /skybroad/index.php/Mobile/Ajaxload/ajaxload | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000256s ]
[ 2013-12-27T15:43:48+08:00 ] /skybroad/index.php/Mobile/Ajaxload/ajaxload | SQL: SHOW COLUMNS FROM `m_goods` [ RunTime:0.001107s ]
[ 2013-12-27T15:43:48+08:00 ] /skybroad/index.php/Mobile/Ajaxload/ajaxload | SQL: SELECT COUNT(*) AS tp_count FROM `m_goods` WHERE ( category_id like '12011%' ) LIMIT 1  [ RunTime:0.000324s ]
[ 2013-12-27T15:43:48+08:00 ] /skybroad/index.php/Mobile/Ajaxload/ajaxload | SQL: SELECT * FROM `m_goods` WHERE ( category_id like '12011%' ) ORDER BY id desc LIMIT 8,8  [ RunTime:0.000342s ]
[ 2013-12-27T15:43:50+08:00 ] /skybroad/index.php/Mobile/Goods | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001516s ]
[ 2013-12-27T15:43:50+08:00 ] /skybroad/index.php/Mobile/Goods | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000251s ]
[ 2013-12-27T15:43:50+08:00 ] /skybroad/index.php/Mobile/Goods | SQL: SHOW COLUMNS FROM `m_goods` [ RunTime:0.001219s ]
[ 2013-12-27T15:43:50+08:00 ] /skybroad/index.php/Mobile/Goods | SQL: SHOW COLUMNS FROM `m_categorys` [ RunTime:0.000888s ]
[ 2013-12-27T15:43:50+08:00 ] /skybroad/index.php/Mobile/Goods | SQL: SELECT * FROM `m_categorys` WHERE fid=120 ORDER BY id asc [ RunTime:0.000492s ]
[ 2013-12-27T15:43:51+08:00 ] /skybroad/index.php/Mobile | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001503s ]
[ 2013-12-27T15:43:51+08:00 ] /skybroad/index.php/Mobile | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000267s ]
[ 2013-12-27T15:43:51+08:00 ] /skybroad/index.php/Mobile | SQL: SHOW COLUMNS FROM `m_advert` [ RunTime:0.001222s ]
[ 2013-12-27T15:43:51+08:00 ] /skybroad/index.php/Mobile | SQL: SELECT * FROM `m_advert` ORDER BY id asc LIMIT 5  [ RunTime:0.000277s ]
[ 2013-12-27T15:43:52+08:00 ] /skybroad/index.php/Mobile/Ajaxload/index_advajaxload?_=1388130234302 | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001447s ]
[ 2013-12-27T15:43:52+08:00 ] /skybroad/index.php/Mobile/Ajaxload/index_advajaxload?_=1388130234302 | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000242s ]
[ 2013-12-27T15:43:52+08:00 ] /skybroad/index.php/Mobile/Ajaxload/index_advajaxload?_=1388130234302 | SQL: SHOW COLUMNS FROM `m_advert` [ RunTime:0.001159s ]
[ 2013-12-27T15:43:52+08:00 ] /skybroad/index.php/Mobile/Ajaxload/index_advajaxload?_=1388130234302 | SQL: SELECT * FROM `m_advert` ORDER BY id asc LIMIT 5  [ RunTime:0.000360s ]
[ 2013-12-27T15:43:52+08:00 ] /skybroad/index.php/Mobile/Ajaxload/index_advajaxload?_=1388130234302 | NOTIC: [8] Undefined variable: str AjaxloadAction.class.php 第 65 行.
[ 2013-12-27T15:43:54+08:00 ] /skybroad/index.php/Mobile/News | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001621s ]
[ 2013-12-27T15:43:54+08:00 ] /skybroad/index.php/Mobile/News | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000276s ]
[ 2013-12-27T15:43:54+08:00 ] /skybroad/index.php/Mobile/News | SQL: SHOW COLUMNS FROM `m_news` [ RunTime:0.001191s ]
[ 2013-12-27T15:43:54+08:00 ] /skybroad/index.php/Mobile/News | SQL: SHOW COLUMNS FROM `m_categorys` [ RunTime:0.000886s ]
[ 2013-12-27T15:43:54+08:00 ] /skybroad/index.php/Mobile/News | SQL: SELECT * FROM `m_categorys` WHERE fid=100 ORDER BY id asc [ RunTime:0.000282s ]
[ 2013-12-27T15:44:10+08:00 ] /skybroad/index.php/Mobile | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001462s ]
[ 2013-12-27T15:44:10+08:00 ] /skybroad/index.php/Mobile | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000300s ]
[ 2013-12-27T15:44:10+08:00 ] /skybroad/index.php/Mobile | SQL: SHOW COLUMNS FROM `m_advert` [ RunTime:0.001266s ]
[ 2013-12-27T15:44:10+08:00 ] /skybroad/index.php/Mobile | SQL: SELECT * FROM `m_advert` ORDER BY id asc LIMIT 5  [ RunTime:0.000329s ]
[ 2013-12-27T15:44:11+08:00 ] /skybroad/index.php/Mobile/Ajaxload/index_advajaxload?_=1388130252893 | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001499s ]
[ 2013-12-27T15:44:11+08:00 ] /skybroad/index.php/Mobile/Ajaxload/index_advajaxload?_=1388130252893 | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000271s ]
[ 2013-12-27T15:44:11+08:00 ] /skybroad/index.php/Mobile/Ajaxload/index_advajaxload?_=1388130252893 | SQL: SHOW COLUMNS FROM `m_advert` [ RunTime:0.001136s ]
[ 2013-12-27T15:44:11+08:00 ] /skybroad/index.php/Mobile/Ajaxload/index_advajaxload?_=1388130252893 | SQL: SELECT * FROM `m_advert` ORDER BY id asc LIMIT 5  [ RunTime:0.000289s ]
[ 2013-12-27T15:44:11+08:00 ] /skybroad/index.php/Mobile/Ajaxload/index_advajaxload?_=1388130252893 | NOTIC: [8] Undefined variable: str AjaxloadAction.class.php 第 65 行.
[ 2013-12-27T15:44:13+08:00 ] /skybroad/index.php/Mobile/News | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001430s ]
[ 2013-12-27T15:44:13+08:00 ] /skybroad/index.php/Mobile/News | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000245s ]
[ 2013-12-27T15:44:13+08:00 ] /skybroad/index.php/Mobile/News | SQL: SHOW COLUMNS FROM `m_news` [ RunTime:0.001100s ]
[ 2013-12-27T15:44:13+08:00 ] /skybroad/index.php/Mobile/News | SQL: SHOW COLUMNS FROM `m_categorys` [ RunTime:0.000856s ]
[ 2013-12-27T15:44:13+08:00 ] /skybroad/index.php/Mobile/News | SQL: SELECT * FROM `m_categorys` WHERE fid=100 ORDER BY id asc [ RunTime:0.000291s ]
[ 2013-12-27T15:44:17+08:00 ] /skybroad/index.php/Mobile/News/view/cid/10011 | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001804s ]
[ 2013-12-27T15:44:17+08:00 ] /skybroad/index.php/Mobile/News/view/cid/10011 | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000358s ]
[ 2013-12-27T15:44:17+08:00 ] /skybroad/index.php/Mobile/News/view/cid/10011 | SQL: SHOW COLUMNS FROM `m_news` [ RunTime:0.001309s ]
[ 2013-12-27T15:44:17+08:00 ] /skybroad/index.php/Mobile/News/view/cid/10011 | SQL: SHOW COLUMNS FROM `m_categorys` [ RunTime:0.000988s ]
[ 2013-12-27T15:44:17+08:00 ] /skybroad/index.php/Mobile/News/view/cid/10011 | SQL: SELECT * FROM `m_categorys` WHERE id=10011 LIMIT 1  [ RunTime:0.000255s ]
[ 2013-12-27T15:44:18+08:00 ] /skybroad/index.php/Mobile/Ajaxload/start_ajaxLoad | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001489s ]
[ 2013-12-27T15:44:18+08:00 ] /skybroad/index.php/Mobile/Ajaxload/start_ajaxLoad | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000244s ]
[ 2013-12-27T15:44:18+08:00 ] /skybroad/index.php/Mobile/Ajaxload/start_ajaxLoad | SQL: SHOW COLUMNS FROM `m_news` [ RunTime:0.001066s ]
[ 2013-12-27T15:44:18+08:00 ] /skybroad/index.php/Mobile/Ajaxload/start_ajaxLoad | SQL: SELECT COUNT(*) AS tp_count FROM `m_news` WHERE ( category_id like '10011%' ) LIMIT 1  [ RunTime:0.000337s ]
[ 2013-12-27T15:44:18+08:00 ] /skybroad/index.php/Mobile/Ajaxload/start_ajaxLoad | SQL: SELECT * FROM `m_news` WHERE ( category_id like '10011%' ) ORDER BY id desc LIMIT 0,8  [ RunTime:0.000498s ]
[ 2013-12-27T15:44:36+08:00 ] /skybroad/index.php/Mobile/News | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001427s ]
[ 2013-12-27T15:44:36+08:00 ] /skybroad/index.php/Mobile/News | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000245s ]
[ 2013-12-27T15:44:36+08:00 ] /skybroad/index.php/Mobile/News | SQL: SHOW COLUMNS FROM `m_news` [ RunTime:0.001062s ]
[ 2013-12-27T15:44:36+08:00 ] /skybroad/index.php/Mobile/News | SQL: SHOW COLUMNS FROM `m_categorys` [ RunTime:0.000867s ]
[ 2013-12-27T15:44:36+08:00 ] /skybroad/index.php/Mobile/News | SQL: SELECT * FROM `m_categorys` WHERE fid=100 ORDER BY id asc [ RunTime:0.000308s ]
[ 2013-12-27T15:44:40+08:00 ] /skybroad/index.php/Mobile/News/view/cid/10012 | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001515s ]
[ 2013-12-27T15:44:40+08:00 ] /skybroad/index.php/Mobile/News/view/cid/10012 | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000270s ]
[ 2013-12-27T15:44:40+08:00 ] /skybroad/index.php/Mobile/News/view/cid/10012 | SQL: SHOW COLUMNS FROM `m_news` [ RunTime:0.001138s ]
